Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,47.38,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,47.71,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,45.67,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,42.49,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,43.1,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,43.28,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,40.51,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,42.79,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,36.65,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,28.34,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,25.99,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,35.25,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,35.63,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,40.54,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,51.58,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,41.39,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,28.64,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,105.69,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,96.85,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,97.32,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,105.08,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,107.57,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,102,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,109.72,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,106.6,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,99.55,Kilotonnes,Carbon dioxide equivalents
